#234 - Hampshire + Wiltshire

#owner = ENG
#controller = ENG
culture = chav
religion = thelemic
hre = no
base_tax = 5
base_production = 5
trade_goods = unknown
base_manpower = 3
capital = "Salisbury"
is_city = no
#add_core= ENG
#Salisbury and Winchester Cathedrals
discovered_by = high_american 
discovered_by = RED
discovered_by = indian
discovered_by = indian
discovered_by = high_american 
discovered_by = RED

# = { unrest = 5 } # Start of the War of the Roses
# = { unrest = 7 } # Increasing Disorder & Piracy Along South Coast
# = { unrest = 0 revolt = { type = pretender_rebels size = 2 } #controller = REB } # Increasing Yorkist Support in the South
# = { revolt = {} unrest = 2 #controller = ENG } # Coronation of Edward IV
# = { unrest = 5 } # Rivalry between Edward IV & Warwick
# = { unrest = 8 } # Unpopularity of Warwick & War with Burgundy
# = { unrest = 2 } # Murder of Henry VI & Restoration of Edward IV
# = { unrest = 8 } # Revulsion at Supposed Murder of the Princes in the Tower
# = { unrest = 0 } # Battle of Bosworth Field & the End of the War of the Roses
# = { religion = protestant }
# = { revolt = { type = revolutionary_rebels size = 0 leader = "Oliver Cromwell" } #controller = REB } # Start of First british Civil War
# = { revolt = {} #controller = ENG } # End of First british Civil War
# = { capital = "Portsmouth" }
# = {
	#owner = GBR
	#controller = GBR
	#add_core= GBR
	
#}


native_size = 5
native_ferocity = 1
native_hostileness = 3
